Group,Server,RegionCode,ProvCode,ProvinceName,จำนวนประชากร,time_begin,time_end_join,time_difference_join,time_end,time_difference_insert,time_difference_all,Shape of df_building,Shape of df_household,Shape of df_merged_bh,Shape of df_population,Shape of df_merged_bhp_merged,Shape of df_m_control_ea,Shape of df_final_merged,data_all_insert
1,192.168.0.201,0,10,กรุงเทพมหานคร,"5,433,391",,,,,,,,,,,,,,
1,192.168.0.201,1,11,สมุทรปราการ,"1,383,336",,,,,,,,,,,,,,
1,192.168.0.201,1,12,นนทบุรี,"1,321,301",,,,,,,,,,,,,,
1,192.168.0.201,1,13,ปทุมธานี,"1,243,252",,,,,,,,,,,,,,
1,192.168.0.201,1,14,พระนครศรีอยุธยา,"822,639",,,,,,,,,,,,,,
1,192.168.0.201,1,15,อ่างทอง,"267,522",,,,,,,,,,,,,,
1,192.168.0.201,1,16,ลพบุรี,"722,343",,,,,,,,,,,,,,
1,192.168.0.201,1,17,สิงห์บุรี,"198,581",,,,,,,,,,,,,,
1,192.168.0.201,1,18,ชัยนาท,"312,343",,,,,,,,,,,,,,
1,192.168.0.201,1,19,สระบุรี,"637,983",,,,,,,,,,,,,,
1,192.168.0.201,1,70,ราชบุรี,"862,542",,,,,,,,,,,,,,
1,192.168.0.201,1,71,กาญจนบุรี,"896,652",,,,,,,,,,,,,,
1,192.168.0.201,1,72,สุพรรณบุรี,"819,305",,,,,,,,,,,,,,
1,192.168.0.201,1,73,นครปฐม,"925,683",,,,,,,,,,,,,,
1,192.168.0.201,1,74,สมุทรสาคร,"588,682",,,,,,,,,,,,,,
1,192.168.0.201,1,75,สมุทรสงคราม,"185,793",,,,,,,,,,,,,,
1,192.168.0.201,1,76,เพชรบุรี,"483,830",,,,,,,,,,,,,,
1,192.168.0.201,1,77,ประจวบคีรีขันธ์,"551,660",,,,,,,,,,,,,,
1,192.168.0.201,4,20,ชลบุรี,"1,642,582",,,,,,,,,,,,,,
1,192.168.0.201,4,21,ระยอง,"787,385",,,,,,,,,,,,,,
1,192.168.0.201,4,22,จันทบุรี,"535,810",,,,,,,,,,,,,,
