ProvCode,time_begin,time_end,time_difference,rows_from_source,rows_in_reference,rows_found_as_new
41,2025-09-14 09:09:17,2025-09-14 09:17:11,0:07:53.987324,72105,1047797,68888
18,2025-09-14 09:26:01,2025-09-14 09:27:25,0:01:23.870506,11421,233426,11172
50,2025-09-14 15:16:50,2025-09-14 15:22:29,0:05:39.748420,49735,1178983,49313
51,2025-09-14 15:22:29,2025-09-14 15:24:19,0:01:49.771030,15831,373044,15442
52,2025-09-14 15:24:19,2025-09-14 15:29:51,0:05:32.054235,55195,534036,49429
53,2025-09-14 15:29:51,2025-09-14 15:30:59,0:01:07.762884,10208,312338,9189
54,2025-09-14 15:30:59,2025-09-14 15:31:41,0:00:42.335333,5423,348696,4978
55,2025-09-14 15:31:41,2025-09-14 15:33:21,0:01:39.679324,16481,367423,13941
56,2025-09-14 15:33:21,2025-09-14 15:36:22,0:03:01.269528,29285,350054,26698
57,2025-09-14 15:36:22,2025-09-14 15:41:09,0:04:46.257466,43823,837461,41839
58,2025-09-14 15:41:09,2025-09-14 15:41:51,0:00:42.619694,5701,210856,5242
60,2025-09-14 15:41:51,2025-09-14 15:49:57,0:08:05.998026,78060,713300,73212
61,2025-09-14 15:49:57,2025-09-14 15:52:37,0:02:40.185550,26539,243182,23598
62,2025-09-14 15:52:37,2025-09-14 15:54:37,0:01:59.789414,18627,503597,16832
63,2025-09-14 15:54:37,2025-09-14 15:55:28,0:00:50.560111,6650,422271,6190
64,2025-09-14 15:55:28,2025-09-14 15:58:09,0:02:40.937419,28904,419766,23182
65,2025-09-14 15:58:09,2025-09-14 16:06:48,0:08:39.496986,80596,571096,78581
66,2025-09-14 16:06:48,2025-09-14 16:09:22,0:02:33.738915,24222,350981,22294
67,2025-09-14 16:09:22,2025-09-14 16:13:16,0:03:53.661020,37985,645076,33903
80,2025-09-14 17:51:40,2025-09-14 17:52:24,0:00:44.279462,4836,1137953,4663
81,2025-09-14 17:52:24,2025-09-14 17:52:33,0:00:08.479600,56,409864,56
82,2025-09-14 17:52:33,2025-09-14 17:52:47,0:00:14.491811,1289,226688,1265
83,2025-09-14 17:52:47,2025-09-14 17:56:47,0:03:59.239628,35721,150826,35679
84,2025-09-14 17:56:47,2025-09-14 18:00:56,0:04:09.776619,37659,724734,36209
85,2025-09-14 18:00:56,2025-09-14 18:02:04,0:01:07.366190,9342,184469,9152
86,2025-09-14 18:02:04,2025-09-14 18:07:25,0:05:20.865157,49471,350242,47489
90,2025-09-14 18:07:25,2025-09-14 18:09:44,0:02:19.431010,19430,870316,19335
91,2025-09-14 18:09:44,2025-09-14 18:12:03,0:02:18.378078,20560,256044,19875
92,2025-09-14 18:12:03,2025-09-14 18:12:21,0:00:18.232552,1430,567678,1340
93,2025-09-14 18:12:21,2025-09-14 18:12:46,0:00:25.524480,2623,423713,2598
94,2025-09-14 18:12:46,2025-09-14 18:13:27,0:00:40.636841,4749,548259,4715
95,2025-09-14 18:13:27,2025-09-14 18:14:08,0:00:40.706871,4902,471987,4850
96,2025-09-14 18:14:08,2025-09-14 18:14:23,0:00:15.412729,880,643158,875
80,2025-09-14 19:02:53,2025-09-14 19:03:08,0:00:14.773272,4836,1142616,2
81,2025-09-14 19:03:08,2025-09-14 19:03:16,0:00:08.027772,56,409920,0
82,2025-09-14 19:03:16,2025-09-14 19:03:23,0:00:06.249087,1289,227953,0
83,2025-09-14 19:03:23,2025-09-14 19:03:30,0:00:07.438591,35721,186505,36
84,2025-09-14 19:03:30,2025-09-14 19:03:43,0:00:13.001800,37659,760943,59
85,2025-09-14 19:03:43,2025-09-14 19:03:49,0:00:06.485432,9342,193621,0
86,2025-09-14 19:03:49,2025-09-14 19:04:00,0:00:10.165756,49471,397731,29
